timestamp,source_layer,target_layer,method
2026-06-17,E-DIMENSIONS,G-ANNO-DIMS,static
2026-06-17,S-COLUMN,S-CARPORT,static
2026-06-17,SOLAR PV-MODULES LAYOUT,PV-MODS,static
2026-06-17,EV-EV CHARGER EQUIPMENT,EV-EQUIP,static
2026-06-17,E-STAMP,G-ANNO-STAMP,static
2026-06-17,E-NOTES,G-ANNO-TEXT,static
2026-06-17,SOLAR PV-RACKING,PV-RACK,static
2026-06-17,C-PARKING LINES,S-SITE,static
2026-06-17,A-FIRE SETBACK,A-SETB,static
2026-06-17,G-TEXT,G-ANNO-TEXT,static
2026-06-17,A-BUILDING OUTLINE SECONDARY,A-BLDG,static
2026-06-17,C-PARCEL LINE - PROPERTY LINE,A-PROP,static
2026-06-17,SOLAR PV-STRINGING,E-STRING,static
2026-06-17,EV-EV CHARGER  L2,EV-EQUIP,static
2026-06-17,EV-EV CHARGER  L3,EV-EQUIP,static
2026-06-17,S-FOUNDATION,S-PAD,static
2026-06-17,S-ROOF RAFTER 3,S-ROOF,static
2026-06-17,S-DETAILS,S-DETL,static
2026-06-17,S-ROOF RAFTER 2,S-ROOF,static
2026-06-17,A-DIMENSIONS,G-ANNO-DIMS,static
2026-06-17,S-ROOF RAFTER 1,S-ROOF,static
2026-06-17,A-GROUND,S-SITE,static
2026-06-17,E_Module,PV-MODS,static
2026-06-17,E-PV-DIMENSIONS,G-ANNO-DIMS,static
2026-06-17,TEXT,G-ANNO-TEXT,static
2026-06-17,Dim,G-ANNO-DIMS,static
2026-06-17,E_Unistrut,S-DETL,static
2026-06-17,E_LEGEND,G-ANNO-LGND,static
2026-06-17,E-STRING-LABELS,E-STRING,static
2026-06-17,E-ANNO-DIMENSIONS,G-ANNO-DIMS,static
2026-06-17,G-ANNO-VIEWPORT,G-VPORT,static
2026-06-17,G-ANNO-DEFPOINTS,Defpoints,static
2026-06-17,A-BLD OUTLINE,A-BLDG,static
2026-06-17,A-PVMT-MRKG,S-SITE,static
2026-06-17,E-PV-EQUIPMENT NEW,E-EQUIP,static
2026-06-17,E-PV-EQUIPMENT EXISTING,E-EQUIP,static
2026-06-17,A-DOOR,A-BLDG,static
2026-06-17,A-STREET,S-SITE,static
2026-06-17,E-PV-STAMP,G-ANNO-STAMP,static
2026-06-17,1,0,static
2026-06-17,E-PV-SINGLE LINE DIAGRAM,E-SLD,static
2026-06-17,E-SINGLE LINE,E-SLD,static
2026-06-17,E_Single Line,E-SLD,static
2026-06-17,E-PV-SINGLE LINE,E-SLD,static
2026-06-17,E-PV-WORKING CLEARANCE,E-CLEARANCE,static
2026-06-17,unistrut,S-DETL,static
2026-06-17,G_VIEWPORT,G-VPORT,static
2026-06-17,E-ANNO-TEXT,G-ANNO-TEXT,static
2026-06-17,A_TEXT,G-ANNO-TEXT,static
2026-06-17,A_Property Line,A-PROP,static
2026-06-17,A_street axis,S-SITE,static
2026-06-17,A_Building,A-BLDG,static
2026-06-17,A_Bld Outline,A-BLDG,static
2026-06-17,A_Obstructions,A-ROOF-EQUIP,static
2026-06-17,A_Wall,A-WALL,static
2026-06-17,A_Door,A-BLDG,static
2026-06-17,Fence,S-SITE,static
2026-06-17,A_Roof lines,A-ROOF,static
2026-06-17,V-PVMT-ROAD,S-SITE,static
2026-06-17,V-PVMT-MRKG,S-SITE,static
2026-06-17,S_Canopy border,S-CARPORT,static
2026-06-17,E_Equipment Existing,E-EQUIP,static
2026-06-17,S-BEAMS,S-CARPORT,static
2026-06-17,E-EQUIPMENT-N,E-EQUIP,static
2026-06-17,E-PV-CLEARANCE,E-CLEARANCE,static
2026-06-17,S_Columns,S-CARPORT,static
2026-06-17,S_Structure Metal,S-CARPORT,static
